created,text,retweetCount
2017-07-06 11:04:36,RT @htTweets: With GST the Modi regime is once again repeating the follies of  demonetisation #HTOpinion @mohanguruswamy https://t.co/cWzMJ…,4
2017-07-06 11:04:17,"RT @raaisaab: #DeMonetisationDisaster | #DemonetizationDisaster | #DeMonetisation
OR
How NOT To Do Things https://t.co/AiE1YW5vAe",55
2017-07-06 11:04:10,RT @htTweets: With GST the Modi regime is once again repeating the follies of  demonetisation #HTOpinion @mohanguruswamy https://t.co/cWzMJ…,4
2017-07-06 11:04:03,"RT @rishibagree: Every Congress spokie quoted Paul Krugman who went horribly wrong during demonetisation, 

Now they have to lick back thei…",349
2017-07-06 11:04:00,"Modi's note ban can't kill corruption, it could damage Indian economy significantly: Paul Krugman https://t.co/JAuDTgb1Oa via @economictimes",0
2017-07-06 11:03:25,RT @kapsology: .@narendramodi trying to bring India out of self-made disaster ~ Demonetisation https://t.co/VRo8x9fNVi,81
2017-07-06 11:03:09,"RT @raaisaab: #DeMonetisationDisaster | #DemonetizationDisaster | #DeMonetisation
OR
How NOT To Do Things https://t.co/Kfn9ArPKKV",59
2017-07-06 11:02:45,"RT @raaisaab: #DeMonetisationDisaster | #DemonetizationDisaster | #DeMonetisation
OR
How NOT To Do Things https://t.co/rvOO0IMmIV",7
2017-07-06 11:02:36,"RT @INCIndia: Demonetisation is not going to make any lasting dent in corruption- Paul Krugman, Nobel Laureate  https://t.co/rLG0Dth7qB",364
2017-07-06 11:02:23,RT @kapsology: .@narendramodi trying to bring India out of self-made disaster ~ Demonetisation https://t.co/VRo8x9fNVi,81
2017-07-06 11:02:03,"RT @SwachhPolitics: Noble Laureate Paul Krugman blames #DeMonetisation, RBI, Strong Rupee for tepid growth &amp; 6% growth is disappointing for…",2
2017-07-06 11:01:54,"RT @djohninc: Cash is back &amp; Digital Transactions Are Declining !!
Does This Mean #DEMONetisation Failed ?
https://t.co/S2fT5fUady",11
2017-07-06 11:01:45,RT @kapsology: .@narendramodi trying to bring India out of self-made disaster ~ Demonetisation https://t.co/VRo8x9fNVi,81
2017-07-06 11:00:37,"RT @vasudha_ET: New window will defeat demonetisation reform, currency gone to Nepal, Bhutan will come back; govt likely to tell SC https:/…",14
2017-07-06 11:00:04,"Now that 30th June is done with,can we now know as to how much of the demonetized currency is in the coffers #demonetization #DeMonetisation",0
2017-07-06 10:59:57,RT @kapsology: .@narendramodi trying to bring India out of self-made disaster ~ Demonetisation https://t.co/VRo8x9fNVi,81
2017-07-06 10:59:47,"RT @teestasdad: Modi's note ban can't kill corruption, it could damage Indian economy: Paul Krugman https://t.co/dkoRCE4r4g",1
2017-07-06 10:59:10,"RT @raaisaab: #DeMonetisationDisaster | #DemonetizationDisaster | #DeMonetisation
OR
How NOT To Do Things https://t.co/zDpPFsBCoF",45
2017-07-06 10:59:05,"RT @raaisaab: #DeMonetisationDisaster | #DemonetizationDisaster | #DeMonetisation
OR
How NOT To Do Things https://t.co/DtkA4Aiqma",87
2017-07-06 10:58:58,"RT @raaisaab: #DeMonetisationDisaster | #DemonetizationDisaster | #DeMonetisation
OR
How NOT To Do Things https://t.co/SHO8gaxG9S",30
2017-07-06 10:58:31,"The man who promotes protectionism, deficit financing and other leftist ideals criticizing demonetisation. Hmmmm. https://t.co/V4bdx1D3T2",0
2017-07-06 10:58:26,RT @htTweets: With GST the Modi regime is once again repeating the follies of  demonetisation #HTOpinion @mohanguruswamy https://t.co/cWzMJ…,4
2017-07-06 10:58:26,"RT @raaisaab: #DeMonetisationDisaster | #DemonetizationDisaster | #DeMonetisation
OR
How NOT To Do Things https://t.co/rvOO0IMmIV",7
2017-07-06 10:58:25,"RT @INCIndia: Demonetisation is not going to make any lasting dent in corruption- Paul Krugman, Nobel Laureate  https://t.co/rLG0Dth7qB",364
2017-07-06 10:58:21,Modi's #Demonetision wondering who'll will be vindicated as Anti-National with Raids ordered on who all!! https://t.co/Ck0l2KN4Og,0
2017-07-06 10:57:45,"@IndiaToday That's a lie. This is what he actually said: 
https://t.co/T4UCGGmNa8",1
2017-07-06 10:57:43,"Modi's note ban can't kill corruption, it could damage Indian economy significantly: Paul Krugman
https://t.co/6rcFaG2mHU",0
2017-07-06 10:57:41,"RT @INCIndia: Demonetisation is not going to make any lasting dent in corruption- Paul Krugman, Nobel Laureate  https://t.co/rLG0Dth7qB",364
2017-07-06 10:57:38,"RT @RenukaJain6: Demonetisation impact not as bad as some of us thought: Paul Krugman, Nobel Laureate. Finally he admits mistake  https://t…",92
2017-07-06 10:56:52,"Modi's note ban can't kill corruption, it could damage Indian economy: Paul Krugman https://t.co/dkoRCE4r4g",1
2017-07-06 10:56:28,"RT @INCIndia: Demonetisation is not going to make any lasting dent in corruption- Paul Krugman, Nobel Laureate  https://t.co/rLG0Dth7qB",364
2017-07-06 10:56:16,"RT @INCIndia: Demonetisation is not going to make any lasting dent in corruption- Paul Krugman, Nobel Laureate  https://t.co/rLG0Dth7qB",364
2017-07-06 10:56:09,"Modi's note ban can't kill corruption, it could damage Indian economy significantly: Paul Krugman
https://t.co/ecsuqGN4dK",0
2017-07-06 10:56:00,RT @sunandavashisht: Paul Krugman: Demonetisation impact not as bad as some of us thought. He traveled to India to call it a disaster  http…,33
